Rank,Model,Live Overall Acc,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection
1,watt-ai_watt-tool-8B,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,mistralai_Ministral-8B-Instruct-2410,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,microsoft_phi-4,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,uiuc-convai_CoALM-70B,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,google_gemma-3-27b-it,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,uiuc-convai_CoALM-405B,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,uiuc-convai_CoALM-8B,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Gemini-2.0-Flash-Lite-001 (Prompt),0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Grok-3-mini-beta (Prompt),0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,claude-3.5-haiku-20241022 (Prompt),0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,Claude-3.7-Sonnet-20250219 (Prompt),0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,Team-ACE_ToolACE-2-8B,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,Gemini-2.0-Flash-001 (Prompt),0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Qwen_Qwen3-32B,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,GPT-4o-mini-2024-07-18 (Prompt),0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,meta-llama_Llama-3.1-8B-Instruct,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,mistral-large-2411 (Prompt),0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,watt-ai_watt-tool-70B,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,GPT-4o-2024-11-20 (Prompt),0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,meta-llama_Llama-3.1-70B-Instruct,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
