Rank,Model,Prompt Variation (PV) Overall Acc,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_markdown_prompt_style_classic_return_format_Python,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_experimental_return_format_Python
1,Qwen_Qwen3-32B,80.61%,81.42%,80.62%,89.17%,80.35%,80.66%,88.05%,77.93%,77.95%,85.99%,79.09%,78.76%,85.66%,71.63%,70.19%,78.08%,75.84%,75.98%,83.25%,79.14%,77.41%,82.39%,80.75%,75.91%,82.66%,87.30%,89.78%
2,uiuc-convai_CoALM-405B,79.79%,74.32%,79.67%,64.94%,84.49%,81.79%,87.35%,81.03%,80.98%,83.17%,80.39%,80.45%,83.23%,70.99%,78.87%,85.71%,70.39%,77.66%,86.11%,65.21%,82.48%,86.66%,64.57%,80.80%,87.13%,87.96%,88.22%
3,mistralai_Ministral-8B-Instruct-2410,76.00%,78.57%,78.71%,79.04%,79.14%,79.32%,78.73%,74.39%,74.53%,74.59%,75.24%,74.38%,74.78%,74.84%,74.57%,74.53%,74.52%,74.68%,75.16%,74.48%,75.00%,74.38%,75.27%,74.57%,75.03%,78.84%,78.61%
4,microsoft_phi-4,75.32%,79.08%,77.46%,67.75%,73.76%,71.30%,67.20%,74.94%,75.97%,81.97%,74.78%,75.98%,82.45%,71.06%,73.64%,78.42%,71.35%,75.87%,78.15%,76.57%,77.54%,80.47%,78.01%,79.36%,81.43%,73.23%,60.63%
5,google_gemma-3-27b-it,75.22%,76.26%,75.19%,83.20%,80.63%,80.61%,87.10%,76.95%,77.88%,85.42%,78.54%,77.94%,86.65%,44.45%,53.24%,56.40%,57.86%,66.48%,72.63%,76.05%,76.58%,82.80%,75.91%,78.26%,84.78%,86.41%,77.47%
6,Grok-3-mini-beta (Prompt),74.80%,80.47%,77.11%,84.59%,81.26%,77.80%,87.12%,77.31%,78.16%,82.48%,79.80%,79.14%,84.24%,80.52%,80.15%,87.03%,78.68%,77.28%,86.32%,74.47%,79.44%,87.71%,76.89%,80.02%,86.86%,N/A,N/A
7,meta-llama_Llama-3.1-70B-Instruct,74.24%,78.31%,80.43%,85.24%,78.38%,81.15%,85.36%,66.87%,60.09%,73.46%,59.38%,60.77%,73.19%,63.86%,77.61%,78.07%,63.77%,78.06%,80.66%,66.84%,75.05%,74.82%,66.85%,75.65%,76.24%,84.50%,85.65%
8,mistral-large-2411 (Prompt),74.23%,81.61%,78.99%,88.88%,77.62%,74.96%,84.49%,76.82%,78.08%,82.92%,76.46%,78.75%,81.83%,78.15%,80.93%,83.26%,79.56%,78.44%,85.41%,80.56%,79.11%,80.57%,80.96%,78.53%,83.09%,N/A,N/A
9,GPT-4o-mini-2024-07-18 (Prompt),73.24%,83.70%,77.71%,87.85%,81.18%,79.13%,86.34%,79.51%,78.32%,83.49%,79.11%,79.33%,83.43%,70.67%,78.47%,83.44%,72.93%,77.90%,84.48%,69.08%,77.51%,79.97%,72.66%,77.54%,80.52%,N/A,N/A
10,GPT-4o-2024-11-20 (Prompt),70.50%,79.59%,78.48%,80.02%,82.03%,82.09%,86.38%,73.86%,74.20%,77.44%,77.70%,77.26%,81.20%,71.76%,72.21%,75.99%,69.70%,73.92%,76.02%,73.29%,74.93%,74.54%,71.94%,74.04%,74.42%,N/A,N/A
11,Gemini-2.0-Flash-001 (Prompt),69.57%,78.18%,80.34%,85.87%,77.63%,78.77%,84.05%,79.10%,80.05%,85.43%,80.62%,79.74%,86.48%,56.90%,77.44%,80.71%,56.04%,73.61%,75.55%,48.14%,77.94%,84.12%,47.39%,76.44%,78.22%,N/A,N/A
12,Gemini-2.0-Flash-Lite-001 (Prompt),67.82%,68.47%,61.35%,75.22%,68.57%,60.70%,66.86%,77.37%,75.11%,82.41%,78.73%,78.81%,84.56%,73.57%,73.58%,78.66%,78.48%,75.64%,82.41%,63.24%,68.48%,69.36%,73.26%,72.19%,76.38%,N/A,N/A
13,claude-3.5-haiku-20241022 (Prompt),61.03%,74.86%,68.05%,78.32%,79.10%,71.15%,83.60%,74.39%,74.63%,80.73%,75.02%,74.54%,82.39%,60.77%,63.09%,56.82%,70.55%,64.24%,60.48%,45.09%,48.62%,37.15%,59.13%,58.94%,45.22%,N/A,N/A
14,Claude-3.7-Sonnet-20250219 (Prompt),60.88%,81.24%,78.88%,85.46%,81.59%,78.75%,86.50%,76.27%,78.42%,83.62%,76.11%,79.32%,84.06%,35.70%,59.34%,56.40%,43.71%,58.43%,57.02%,36.43%,58.86%,55.76%,41.41%,55.59%,54.04%,N/A,N/A
15,meta-llama_Llama-3.1-8B-Instruct,43.91%,32.24%,58.54%,53.08%,70.21%,70.21%,74.39%,64.09%,56.37%,67.09%,67.13%,59.55%,70.69%,2.52%,0.74%,0.31%,41.50%,10.32%,22.85%,6.15%,9.28%,4.58%,43.33%,54.64%,56.08%,73.19%,72.66%
16,watt-ai_watt-tool-70B,43.80%,33.47%,58.60%,43.81%,81.81%,83.17%,84.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.26%,69.64%,67.59%,34.56%,50.47%,46.67%,41.35%,65.40%,56.94%,30.60%,45.08%,32.32%,85.39%,85.31%
17,Team-ACE_ToolACE-2-8B,29.13%,26.74%,46.74%,38.53%,75.47%,74.68%,81.37%,0.19%,0.05%,0.12%,23.84%,42.85%,30.22%,11.21%,4.94%,7.27%,9.38%,3.77%,6.46%,7.22%,9.51%,12.54%,29.77%,24.81%,23.88%,82.64%,83.27%
18,uiuc-convai_CoALM-8B,26.85%,1.33%,5.25%,4.00%,72.56%,72.42%,76.57%,35.15%,30.26%,43.74%,65.18%,66.56%,71.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,76.86%,77.02%
19,uiuc-convai_CoALM-70B,22.03%,10.78%,3.89%,8.51%,74.05%,72.86%,77.00%,20.76%,37.06%,47.45%,10.83%,30.65%,25.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.06%,0.00%,0.00%,0.00%,0.00%,76.51%,76.82%
20,watt-ai_watt-tool-8B,17.08%,6.64%,4.15%,11.95%,78.96%,77.64%,83.99%,3.86%,2.24%,3.20%,0.37%,0.88%,0.19%,0.12%,0.00%,0.00%,0.19%,0.19%,0.12%,0.12%,0.00%,0.00%,0.19%,0.25%,0.06%,83.53%,85.14%
